Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.211442947387695,23.323937535491698,22.94145479158106,22.963954281380378,38409100
2010-01-05,23.218936920166016,23.323933088765603,22.978948129845854,23.136441667522224,49749600
2010-01-06,23.076452255249023,23.308941295500798,22.88896077075161,23.158947535724263,58182400
2010-01-07,22.836454391479492,23.02394580214699,22.64146315273178,22.971447005585496,50559700
2010-01-08,22.99394989013672,23.15894184096234,22.67896421641788,22.708963533174988,51197400
2010-01-11,22.701461791992188,23.068944808639152,22.588967224520022,23.031445665851074,68754700
2010-01-12,22.55145835876465,22.798946872678187,22.431464014469928,22.611455530912007,65912100
2010-01-13,22.761455535888672,22.888949741128446,22.506467125409124,22.69395851955904,51863500
2010-01-14,23.218936920166016,23.323933088765603,22.693961798952166,22.731459511022432,63228100
2010-01-15,23.143943786621094,23.428930145720365,23.031447778384326,23.308935738684234,79913200
2010-01-19,23.323938369750977,23.428933131677365,23.008952653525473,23.061450034488665,46575700
2010-01-20,22.941448211669922,23.203936462258348,22.731457325110007,23.106440131537504,54849500
2010-01-21,22.506473541259766,23.038948565822533,22.49897371170232,22.956453301583057,73086700
2010-01-22,21.719009399414062,22.648968272387553,21.62901430231745,22.4989745366315,102004600
2010-01-25,21.988996505737305,22.243984986126854,21.82400454861015,21.928999300377775,63373000
2010-01-26,22.12398910522461,22.386477397647006,21.816503269384295,21.898999957688908,66639900
2010-01-27,22.25148582458496,22.36398041092931,21.764008330128593,22.01149699226467,63949500
2010-01-28,21.868999481201172,22.401475866765008,21.666508400897484,22.37897638102703,117513700
2010-01-29,21.1340389251709,22.438979396936812,20.74405632061196,22.423979735889223,193888500
2010-02-01,21.306528091430664,21.359025468135144,20.93904502405308,21.291528432244746,85931100
2010-02-02,21.344024658203125,21.374023974957574,21.10403584595218,21.276529056397933,54413700
2010-02-03,21.471515655517578,21.591511473993304,21.08903443770134,21.19402916961592,61397900
2010-02-04,20.879043579101562,21.37402078818167,20.856544094890307,21.28402428178259,77850000
2010-02-05,21.0140380859375,21.209029328721776,20.676552967571254,20.99903842946656,80960100
2010-02-08,20.789047241210938,21.059035332150675,20.676552680134698,21.00653796567816,52820600
2010-02-09,21.00653839111328,21.254027002671656,20.811547147090625,20.97653907798088,59195800
2010-02-10,20.991540908813477,21.17903234397306,20.87904633380695,21.02154022505315,48591300
2010-02-11,21.089040756225586,21.299030282970072,20.774055035662485,20.946546841330136,65993700
2010-02-12,20.946544647216797,21.044039570071977,20.684056335835002,20.856548123434443,81117200
2010-02-16,21.360958099365234,21.37602790305163,21.112312087082067,21.195193133086068,51935600
2010-02-17,21.541790008544922,21.586997979480824,21.368491589011057,21.49658203760902,45882900
2010-02-18,21.82809829711914,21.87330768286996,21.481501629171508,21.541779373037823,42856500
2010-02-19,21.67741584777832,21.790436496236858,21.6171380727914,21.69248565080893,44451800
2010-02-22,21.64727020263672,21.805500216044624,21.586992444465878,21.73015265904729,36707100
2010-02-23,21.34588623046875,21.72262266336593,21.165052915134357,21.609602020923866,52266200
2010-02-24,21.57192611694336,21.692483089819902,21.38355791270582,21.48904508433088,43165900
2010-02-25,21.549318313598633,21.586991371657504,21.11230422929454,21.300672393858978,48735300
2010-02-26,21.602067947387695,21.737693298368175,21.481512399212935,21.586998144581976,40370600
2010-03-01,21.865785598754883,21.8883888677412,21.496584021577014,21.677417359145625,43805400
2010-03-02,21.443838119506836,22.076755472701105,21.278074598293294,21.910991951487564,93123900
2010-03-03,21.443838119506836,21.556860204612285,21.36095707746782,21.481512626920487,48442100
2010-03-04,21.57192611694336,21.586995918194845,21.30067688009334,21.44383568057642,42890600
2010-03-05,21.541790008544922,21.60960268351652,21.41369955994696,21.59453288082606,56001800
2010-03-08,21.57192611694336,21.797968824309613,21.47397528307939,21.48904508433088,39414500
2010-03-09,21.700014114379883,21.933591696119386,21.511645931313616,21.519180831092488,50271600
2010-03-10,21.82809829711914,21.93358542673628,21.700007911761368,21.745217297512188,44891400
2010-03-11,21.986337661743164,21.99387256258591,21.737691682474143,21.767829848709734,35349700
2010-03-12,22.054147720336914,22.137028745520794,21.880849332883543,22.091820782953658,31700200
2010-03-15,22.0692081451416,22.129485882003276,21.858235347558438,21.98632571803132,37512000
2010-03-16,22.129497528076172,22.219913462384504,22.001407090193236,22.167170594515415,36723500
2010-03-17,22.32539939880371,22.506234143316604,22.152100992208844,22.227448562899987,50385700
2010-03-18,22.310325622558594,22.393206636792566,22.22744317118959,22.325393983333388,43845200
2010-03-19,22.295259475708008,22.52883563302046,22.11442618258205,22.423349904647466,81332100
2010-03-22,22.30279541015625,22.378142978403346,22.144565373123815,22.227447841909154,37718200
2010-03-23,22.51377296447754,22.528842769628948,22.15964116623381,22.295266538325027,42026600
2010-03-24,22.34046745300293,22.49116258259855,22.302794389171655,22.393210317220817,33987700
2010-03-25,22.611719131469727,23.033663501382648,22.4534890945428,22.476093796142454,73168700
2010-03-26,22.34799575805664,22.754871625610118,22.295252909403747,22.671989185078516,55595500
2010-03-29,22.295259475708008,22.46855786864514,22.265119874952717,22.385675403703353,33336000
2010-03-30,22.430885314941406,22.498697981047687,22.22744731662256,22.325398147034246,34954800
2010-03-31,22.0692081451416,22.393200082563975,21.978790821281788,22.3329223457023,63760000
2010-04-01,21.971261978149414,22.25758238498156,21.564387501512943,22.114422181565487,74768100
2010-04-05,22.054147720336914,22.174703245272756,21.87331443293315,21.948660558166637,34331200
2010-04-06,22.09182357788086,22.287726689969915,21.8356426956979,21.96373313678938,47366800
2010-04-07,22.11442756652832,22.272656168989936,21.95619752693135,21.971267328252083,58318800
2010-04-08,22.54390525817871,22.589113221825013,22.076751510049434,22.09182131030995,63713800
2010-04-09,22.860363006591797,22.913105868357924,22.528834599173727,22.566509098388963,54752500
2010-04-12,22.845294952392578,22.973385385240682,22.762412484921654,22.792552086596647,37068800
2010-04-13,22.943246841430664,22.98091990576633,22.70213434342243,22.717204144010807,41374600
2010-04-14,23.222028732299805,23.357654050275283,23.101473213462743,23.19942547072732,68941200
2010-04-15,23.259706497192383,23.319984265077498,23.139149524286807,23.222031994054593,52745400
2010-04-16,23.109010696411133,23.342586860627755,23.056267830665636,23.19942806421435,88703100
2010-04-19,23.38779067993164,23.546019239395594,23.176817830178067,23.18435272879087,64970300
2010-04-20,23.628902435302734,23.68918018897912,23.455602635989997,23.523415288517803,52199500
2010-04-21,23.606304168701172,23.734394609795004,23.530956596798553,23.606304168701172,55343100
2010-04-22,23.65151023864746,23.756997405698574,23.282308746806784,23.387795913857897,84847600
2010-04-23,23.3275146484375,23.794668365716333,23.093938508365664,23.448071605424907,126766600
2010-04-26,23.44053840637207,23.56862883514977,23.252170213295177,23.357655941534954,63649300
2010-04-27,23.244632720947266,23.546021508833313,23.16928516469198,23.319980277202554,68730900
2010-04-28,23.28984260559082,23.35765526811423,23.07133625523168,23.29737750555289,64557900
2010-04-29,23.35765838623047,23.681651942174685,23.109012402830206,23.304915516590324,52665200
2010-04-30,23.011058807373047,23.41793335094275,22.995989007242812,23.41039845087763,63214800
