Date,AAPL_rsi,AAPL_macd,AAPL_signal,AAPL_sma,MSFT_rsi,MSFT_macd,MSFT_signal,MSFT_sma,SPY_rsi,SPY_macd,SPY_signal,SPY_sma,AMZN_rsi,AMZN_macd,AMZN_signal,AMZN_sma,GOOG_rsi,GOOG_macd,GOOG_signal,GOOG_sma
2010-02-19,-0.5149247021053461,-0.3786677185430488,-0.46204435595112586,-1.0630253541169332,-0.5708123786079606,-0.7291556148366931,-0.9809004791013,-0.8123246624862193,-0.10076722576897752,-0.6550737784812766,-1.0526115350655558,-1.4358941812137063,-1.3201035777373453,-0.4645167526166398,-0.5227853912690089,-0.9159280864516492,-1.1126471869552803,-0.7943513034262607,-1.0655930594168677,-1.1565708507905208
2010-02-22,-0.6488675246581287,-0.37261668402933773,-0.447402376362494,-1.0628560730184182,-0.6171430982728405,-0.690317741745065,-0.9333789855739054,-0.8123962967621294,-0.09351814846980439,-0.5799336660784318,-0.9658913704028864,-1.4348024025360482,-1.1963432688745985,-0.4562380071262748,-0.515002398715629,-0.9161405921898614,-0.959773292055018,-0.7469799659486179,-1.0122538455409855,-1.1570297610615685
2010-02-23,-0.9871228814921547,-0.37536139776875915,-0.4362695373009971,-1.063237120966721,-1.0599812729136588,-0.6763810874371138,-0.8923465547323874,-0.8130384664680749,-0.670754733794188,-0.5548421742392502,-0.8911242951167166,-1.4347800019956174,-1.3358709930663395,-0.45086129939600805,-0.5076325774419174,-0.9163313503601037,-1.3542672814195,-0.7267786968081368,-0.9652502729084413,-1.1573435488167783
2010-02-24,-0.566747808467173,-0.3677729281966246,-0.4257576476827936,-1.06357188575139,-0.6709540220060283,-0.6473255800638757,-0.8532343658527984,-0.813589722046599,-0.27990414357593063,-0.5045830194634119,-0.8205123823045111,-1.4339345669918004,-0.7193902895063194,-0.4369474525258183,-0.49877775888038767,-0.9163164375727595,-1.52024683141285,-0.7161718135492746,-0.9253727480187238,-1.1580405021813358
2010-02-25,-0.4206297284221854,-0.357757974771169,-0.41522910618494907,-1.0639446870277636,-0.7057974909310925,-0.6231559342810518,-0.816715441022416,-0.8142908626151684,-0.34431215438424795,-0.4669622832250899,-0.755939982096391,-1.4334642405576141,-1.0149578997407003,-0.42988458519497524,-0.4901918929046116,-0.9165991571415217,-1.7392573005582634,-0.7173600013643595,-0.8937255372992251,-1.1590378820761464
2010-02-26,-0.1466072952131416,-0.34279420498685287,-0.40364014002575355,-1.0636067525354527,-0.6106095265729284,-0.598119346703383,-0.7820835620323471,-0.8145574037530859,-0.31578118193483706,-0.4336450672152947,-0.697123809558765,-1.4322492900430357,-0.9653529025923566,-0.422515906215954,-0.4817561541501622,-0.9170732559009955,-1.7067903866333016,-0.712157348219084,-0.867292049618611,-1.1595146105826042
2010-03-01,0.25556341001656824,-0.31980068316178584,-0.38950384631751733,-1.0625333513121025,-0.15758377542393145,-0.5587740782101197,-0.7458655946476398,-0.8138267272823894,0.13139534148953563,-0.3744875717439208,-0.6373607974905581,-1.4297298094961184,0.24682539216501365,-0.3951207652325401,-0.46918162806342933,-0.9171273143106856,-1.2043415676415217,-0.6860712163545106,-0.8405510376637194,-1.1593395760840697
2010-03-02,0.23751564562357919,-0.30191882595303543,-0.37441125023450234,-1.0616381115995377,-0.846040844200835,-0.5538909451955666,-0.7158347405955978,-0.8136896180746159,0.24365597224887914,-0.3187741892603017,-0.5775802864880953,-1.4279717888161085,0.39739452614758247,-0.36957567182750095,-0.45368950892869503,-0.9167134871284809,-0.5920616425908265,-0.6367608844421216,-0.8085835313339356,-1.158827836265023
2010-03-03,0.2821449631000791,-0.2867143268022281,-0.3591201053023876,-1.0607840780863194,-0.8460408442008344,-0.5482334136975132,-0.6905860338273686,-0.8135899505936879,0.2810972078712443,-0.27214636916852136,-0.5197378226471184,-1.4268967836540676,0.45295800055256236,-0.34787869455989073,-0.43668166758899923,-0.9162306893418192,-0.31643691674993524,-0.5816825472354603,-0.7711978695292127,-1.1579240241705244
2010-03-04,0.4123795021987326,-0.27155745420036026,-0.3436801984298817,-1.0600562222749945,-0.6108618103475906,-0.5335853616958287,-0.6672179194164376,-0.81348968698577,0.41166480648142584,-0.22659369764389684,-0.46367679377045035,-1.4253234641195307,0.8356236621174739,-0.32181666796406455,-0.4175329636469233,-0.9156447452698409,0.2105025934911344,-0.508249011790202,-0.725541375314905,-1.1570475768453778
2010-03-05,1.0383135332509077,-0.2396642256075389,-0.3245800935804594,-1.0583506962455445,-0.6631138573041108,-0.5224963358519342,-0.6461242846350879,-0.8128279098441525,0.9513605120391466,-0.1476054437532376,-0.4018572293101142,-1.4209507167230941,0.8872944341695114,-0.3001920159593592,-0.3976152353745904,-0.9148388390659784,0.6586933848704548,-0.4202611328740601,-0.6701470078546673,-1.1546651968875565
2010-03-08,1.046592127046474,-0.21505614018229613,-0.30409326892015554,-1.056853127582277,-0.6028867915388566,-0.510346730385889,-0.6266207740466982,-0.8122708377422148,0.9574274814481017,-0.08688660410380039,-0.3393560466336922,-1.4166899607068302,1.050380093183711,-0.2795472685087928,-0.37729067715952136,-0.9140484672625064,0.5371778803402298,-0.35463963759568073,-0.6117588563524581,-1.152679988535079
2010-03-09,1.2868078696054257,-0.18702437833177965,-0.28177266440508186,-1.055020796146215,-0.34588977501877277,-0.4910440527205267,-0.6068417746706724,-0.8113612031872006,1.0180336609374971,-0.03651485905154894,-0.2785326577244607,-1.4118916709740965,0.6990829012129335,-0.2682352040826203,-0.35862537211527734,-0.9133034542489595,0.37364440987562025,-0.30890607333932313,-0.555240683178429,-1.1509792860165482
